(Kuwait,2005,0.2133228487980229)
(Qatar,2008,0.31051097890637763)
(Qatar,2010,0.31398951638664574)
(Qatar,2007,0.3446898289810908)
(Kuwait,1995,0.4481143866548903)
(Qatar,2006,0.4989132922418719)
(Holy See,2000,0.5085066162570888)
(Qatar,2004,0.511222431049877)
(Bahrain,2001,0.5601606997558991)
(Guam,2000,0.6369047619047619)
(Oman,2003,0.707257954581529)
(Saudi Arabia,1992,0.7439130256906884)
(Saudi Arabia,2004,0.7714617575378544)
(Burundi,2008,0.8080253401168817)
(Bangladesh,2001,0.8130645089340497)
(Burundi,1990,0.8223615464994776)
(Republic of South Sudan,2008,0.8256059674189021)
(Papua New Guinea,2000,0.8288169010030654)
(Rwanda,2002,0.851104126122697)
(Rwanda,1991,0.860931899641577)
(Bhutan,2005,0.8647121158601201)
(Greenland,2000,0.8653819683413627)
(Timor-Leste,2010,0.8775025219213161)
(Pakistan,1998,0.8846329717659787)
(India,2001,0.8878403644117289)
(Nepal,2001,0.8881237477481763)
(Greenland,2009,0.8923828614382361)
(Mauritania,2000,0.8942026428130281)
(Greenland,2010,0.9001751842454996)
(Gambia,1993,0.9007544458415664)
(Greenland,2012,0.9037288930581614)
(Greenland,2013,0.9045595497875273)
(Maldives,2000,0.9209263725719028)
(Tajikistan,2007,0.9210020538118777)
(Nepal,2011,0.9296301396096753)
(Bermuda,2010,0.929719422500681)
(Tajikistan,2012,0.9300243249382943)
(Tajikistan,2011,0.9333786468681377)
(Sri Lanka,2001,0.9352783831563388)
(United Republic of Tanzania,1988,0.9423347284153625)
(Tajikistan,2010,0.9453456467618079)
(Jordan,2004,0.9457719206749029)
(Zimbabwe,1992,0.9478340243724169)
(China,2000,0.9497976542118436)
(Egypt,1996,0.9522429394804551)
(Burkina Faso,1996,0.9524557033520058)
(Saint Helena ex. dep.,1998,0.9557522123893806)
(Malaysia,2010,0.9583706273837996)
(Kenya,2009,0.9589126583156198)
(Marshall Islands,1999,0.9607453416149069)
(State of Palestine,2007,0.9613410130707328)
(Iran (Islamic Republic of),2006,0.9630300696047825)
(Egypt,2006,0.9649366813230275)
(Tuvalu,2002,0.9693117053923718)
(Gabon,1993,0.9693677110256572)
(Faeroe Islands,2008,0.9699973495891864)
(Falkland Islands (Malvinas),2001,0.9712586719524281)
(Luxembourg,2013,0.9717106765086371)
(Andorra,2006,0.9736691937719084)
(Niger,2001,0.9747587168758717)
(New Caledonia,1996,0.9754581350612535)
(Andorra,2009,0.9761543982773746)
(Andorra,2007,0.977627555126348)
(Andorra,2008,0.980541931333923)
(Costa Rica,2010,0.9819680300989236)
(Costa Rica,2009,0.9823792434722635)
(Andorra,2003,0.9851429639319753)
(Lebanon,1970,0.9858236105883829)
(French Polynesia,2012,0.9861999845809883)
(Iceland,2008,0.9862146235174685)
(Andorra,2005,0.9872777824585054)
(Indonesia,2010,0.9878403093208089)
(Malawi,2003,0.9882869692532943)
(Costa Rica,2007,0.989266962603415)
(Iran (Islamic Republic of),2011,0.9900761338354231)
(Republic of Korea,2000,0.9905869623931616)
(Namibia,2001,0.9907592109525515)
(Tonga,2011,0.9914364640883978)
(Costa Rica,2006,0.9918893276420648)
(Costa Rica,2003,0.9919671753417649)
(Malaysia,2000,0.9921296844765628)
(Bermuda,2000,0.9922720247295209)
(Maldives,2006,0.9944029850746269)
(Gibraltar,2012,0.9950126346588642)
(Turkey,2012,0.9952252425275976)
(Gibraltar,2010,0.9962023599620236)
(Republic of Korea,2006,0.9965721707692777)
(Republic of Korea,2007,0.9983836817868664)
(Maldives,2011,0.9989010404665261)
(Botswana,2001,0.9996648913889055)
(Republic of Korea,2008,1.0001819631098945)
(Andorra,2010,1.0004255319148936)
